;2023-06-30;2023-03-31;2022-12-31;2022-09-30
FreeCashFlow;692000000.0;2480000000.0;125000000.0;2167000000.0
RepurchaseOfCapitalStock;-1361000000.0;-763000000.0;-966000000.0;-686000000.0
RepaymentOfDebt;-626000000.0;-86000000.0;-102000000.0;-496000000.0
IssuanceOfDebt;1500000000.0;300000000.0;500000000.0;150000000.0
CapitalExpenditure;-1208000000.0;-1130000000.0;-1787000000.0;-1230000000.0
EndCashPosition;4983000000.0;4705000000.0;4736000000.0;5182000000.0
OtherCashAdjustmentOutsideChangeinCash;0.0;0.0;0.0;0.0
BeginningCashPosition;4705000000.0;4736000000.0;5182000000.0;7185000000.0
EffectOfExchangeRateChanges;67000000.0;32000000.0;76000000.0;-228000000.0
ChangesInCash;211000000.0;-63000000.0;-522000000.0;-1775000000.0
FinancingCashFlow;-622000000.0;-2347000000.0;-570000000.0;-4158000000.0
CashFromDiscontinuedFinancingActivities;0.0;0.0;0.0;0.0
CashFlowFromContinuingFinancingActivities;-622000000.0;-2347000000.0;-570000000.0;-4158000000.0
NetOtherFinancingCharges;-135000000.0;-3000000.0;-2000000.0;-3000000.0
CashDividendsPaid;0.0;-1795000000.0;0.0;-3123000000.0
NetCommonStockIssuance;-1361000000.0;-763000000.0;-966000000.0;-686000000.0
CommonStockPayments;-1361000000.0;-763000000.0;-966000000.0;-686000000.0
NetIssuancePaymentsOfDebt;874000000.0;214000000.0;398000000.0;-346000000.0
NetLongTermDebtIssuance;874000000.0;214000000.0;398000000.0;-346000000.0
LongTermDebtPayments;-626000000.0;-86000000.0;-102000000.0;-496000000.0
LongTermDebtIssuance;1500000000.0;300000000.0;500000000.0;150000000.0
InvestingCashFlow;-1067000000.0;-1326000000.0;-1864000000.0;-1014000000.0
CashFromDiscontinuedInvestingActivities;0.0;0.0;0.0;0.0
CashFlowFromContinuingInvestingActivities;-1067000000.0;-1326000000.0;-1864000000.0;-1014000000.0
NetOtherInvestingChanges;-30000000.0;-67000000.0;-180000000.0;-70000000.0
DividendsReceivedCFI;105000000.0;0.0;55000000.0;28000000.0
NetInvestmentPurchaseAndSale;67000000.0;-55000000.0;625000000.0;118000000.0
SaleOfInvestment;67000000.0;;625000000.0;118000000.0
PurchaseOfInvestment;;-55000000.0;;-70000000.0
NetBusinessPurchaseAndSale;-1000000.0;-74000000.0;-577000000.0;140000000.0
SaleOfBusiness;0.0;;;140000000.0
PurchaseOfBusiness;-1000000.0;-74000000.0;0.0;0.0
NetPPEPurchaseAndSale;;;;140000000.0
SaleOfPPE;;;;140000000.0
CapitalExpenditureReported;-1208000000.0;-1130000000.0;-1787000000.0;-1230000000.0
OperatingCashFlow;1900000000.0;3610000000.0;1912000000.0;3397000000.0
CashFromDiscontinuedOperatingActivities;0.0;0.0;0.0;0.0
CashFlowFromContinuingOperatingActivities;1900000000.0;3610000000.0;1912000000.0;3397000000.0
TaxesRefundPaid;-574000000.0;-337000000.0;-265000000.0;-582000000.0
InterestPaidCFO;-327000000.0;-169000000.0;-271000000.0;-194000000.0
ChangeInWorkingCapital;-598000000.0;739000000.0;-1802000000.0;777000000.0
ChangeInOtherWorkingCapital;-764000000.0;-479000000.0;-299000000.0;-266000000.0
ChangeInPayablesAndAccruedExpense;570000000.0;-105000000.0;-337000000.0;1327000000.0
ChangeInAccruedExpense;;;;158000000.0
ChangeInPayable;570000000.0;-105000000.0;-434000000.0;1169000000.0
ChangeInAccountPayable;570000000.0;-105000000.0;-434000000.0;1169000000.0
ChangeInInventory;-157000000.0;-363000000.0;941000000.0;-287000000.0
ChangeInReceivables;-247000000.0;1686000000.0;-2107000000.0;3000000.0
ChangesInAccountReceivables;-247000000.0;1686000000.0;-2107000000.0;3000000.0
OtherNonCashItems;-406000000.0;494000000.0;401000000.0;-2255000000.0
ProvisionandWriteOffofAssets;140000000.0;0.0;133000000.0;176000000.0
AssetImpairmentCharge;66000000.0;4000000.0;177000000.0;40000000.0
DepreciationAmortizationDepletion;779000000.0;656000000.0;900000000.0;775000000.0
OperatingGainsLosses;100000000.0;-73000000.0;-269000000.0;-588000000.0
EarningsLossesFromEquityInvestments;-5000000.0;55000000.0;-72000000.0;-78000000.0
GainLossOnInvestmentSecurities;-645000000.0;-280000000.0;-444000000.0;-309000000.0
NetForeignCurrencyExchangeGainLoss;750000000.0;152000000.0;247000000.0;-201000000.0
NetIncomeFromContinuingOperations;2720000000.0;2296000000.0;2908000000.0;5248000000.0
